username,repo_name,stars,repo_url
mrdoob,three.js,"100,364",https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,"26,614",https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,"22,944",https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,"22,761",https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,"19,812",https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,"18,244",https://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,"17,370",https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,"16,418",https://github.com/aframevr/aframe
CesiumGS,cesium,"12,373",https://github.com/CesiumGS/cesium
blender,blender,"12,149",https://github.com/blender/blender
MonoGame,MonoGame,"11,089",https://github.com/MonoGame/MonoGame
mapbox,mapbox-gl-js,"10,886",https://github.com/mapbox/mapbox-gl-js
isl-org,Open3D,"10,808",https://github.com/isl-org/Open3D
metafizzy,zdog,"10,290",https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,"9,531",https://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,"8,893",https://github.com/nerfstudio-project/nerfstudio
a1studmuffin,SpaceshipGenerator,"7,614",https://github.com/a1studmuffin/SpaceshipGenerator
4ian,GDevelop,"7,506",https://github.com/4ian/GDevelop
FyroxEngine,Fyrox,"7,485",https://github.com/FyroxEngine/Fyrox
domlysz,BlenderGIS,"7,434",https://github.com/domlysz/BlenderGIS
