username,repo_name,stars,repo_url
public-apis,public-apis,"297,837",https://github.com/public-apis/public-apis
neovim,neovim,"79,837",https://github.com/neovim/neovim
tiangolo,fastapi,"73,195",https://github.com/tiangolo/fastapi
strapi,strapi,"61,598",https://github.com/strapi/strapi
hoppscotch,hoppscotch,"61,284",https://github.com/hoppscotch/hoppscotch
ocornut,imgui,"57,784",https://github.com/ocornut/imgui
slatedocs,slate,"35,951",https://github.com/slatedocs/slate
QuivrHQ,quivr,"34,041",https://github.com/QuivrHQ/quivr
Kong,insomnia,"33,612",https://github.com/Kong/insomnia
trpc,trpc,"33,515",https://github.com/trpc/trpc
httpie,cli,"32,714",https://github.com/httpie/cli
ccxt,ccxt,"31,912",https://github.com/ccxt/ccxt
hasura,graphql-engine,"30,943",https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,"30,276",https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,"27,828",https://github.com/encode/django-rest-framework
YMFE,yapi,"27,205",https://github.com/YMFE/yapi
directus,directus,"26,435",https://github.com/directus/directus
littlecodersh,ItChat,"25,295",https://github.com/littlecodersh/ItChat
PostgREST,postgrest,"22,666",https://github.com/PostgREST/postgrest
microsoft,api-guidelines,"22,522",https://github.com/microsoft/api-guidelines
