username,repo_name,stars,repo_url
ljianshu,Blog,"7,846",https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,"7,406",https://github.com/metafizzy/infinite-scroll
olifolkerd,tabulator,"6,449",https://github.com/olifolkerd/tabulator
developit,unfetch,"5,695",https://github.com/developit/unfetch
jquery-form,form,"5,201",https://github.com/jquery-form/form
Studio-42,elFinder,"4,593",https://github.com/Studio-42/elFinder
elbywan,wretch,"4,555",https://github.com/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,"3,096",https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,"2,941",https://github.com/ded/reqwest
wendux,ajax-hook,"2,549",https://github.com/wendux/ajax-hook
LeaVerou,bliss,"2,389",https://github.com/LeaVerou/bliss
noelboss,featherlight,"2,076",https://github.com/noelboss/featherlight
craftpip,jquery-confirm,"1,870",https://github.com/craftpip/jquery-confirm
k8w,tsrpc,"1,791",https://github.com/k8w/tsrpc
nette,tracy,"1,740",https://github.com/nette/tracy
taoensso,sente,"1,733",https://github.com/taoensso/sente
loadingio,css-spinner,"1,723",https://github.com/loadingio/css-spinner
joaomilho,Enterprise,"1,593",https://github.com/joaomilho/Enterprise
codingforentrepreneurs,eCommerce,"1,536",https://github.com/codingforentrepreneurs/eCommerce
MoOx,pjax,"1,422",https://github.com/MoOx/pjax
