username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,"109,931",https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,"95,154",https://github.com/angular/angular
storybookjs,storybook,"83,399",https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,"62,630",https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,"50,657",https://github.com/ionic-team/ionic-framework
prettier,prettier,"48,677",https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,"41,709",https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,"34,728",https://github.com/SheetJS/sheetjs
angular,angular-cli,"26,661",https://github.com/angular/angular-cli
angular,components,"24,215",https://github.com/angular/components
NativeScript,NativeScript,"23,868",https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,"23,754",https://github.com/goldbergyoni/javascript-testing-best-practices
wailsapp,wails,"23,304",https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,"22,764",https://github.com/sudheerj/javascript-interview-questions
nrwl,nx,"22,614",https://github.com/nrwl/nx
jhipster,generator-jhipster,"21,311",https://github.com/jhipster/generator-jhipster
pubkey,rxdb,"20,946",https://github.com/pubkey/rxdb
paperless-ngx,paperless-ngx,"17,989",https://github.com/paperless-ngx/paperless-ngx
teambit,bit,"17,705",https://github.com/teambit/bit
sweetalert2,sweetalert2,"16,995",https://github.com/sweetalert2/sweetalert2
