username,repo_name,stars,repo_url
sindresorhus,awesome,"309,686",https://github.com/sindresorhus/awesome
vinta,awesome-python,"211,649",https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,"186,113",https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,"136,647",https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,"124,679",https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,"87,515",https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,"85,127",https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,"79,914",https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,"73,010",https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,"68,877",https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,"65,765",https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,"63,210",https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,"56,973",https://github.com/fffaraz/awesome-cpp
sindresorhus,awesome-nodejs,"56,941",https://github.com/sindresorhus/awesome-nodejs
binhnguyennus,awesome-scalability,"56,723",https://github.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,"55,363",https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,"52,126",https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,"49,722",https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,"46,565",https://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,"46,337",https://github.com/vsouza/awesome-ios
