username,repo_name,stars,repo_url
ccxt,ccxt,"31,912",https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,"25,340",https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,"25,040",https://github.com/discordjs/discord.js
wechaty,wechaty,"19,532",https://github.com/wechaty/wechaty
RasaHQ,rasa,"18,265",https://github.com/RasaHQ/rasa
hubotio,hubot,"16,578",https://github.com/hubotio/hubot
InstaPy,InstaPy,"16,524",https://github.com/InstaPy/InstaPy
leon-ai,leon,"14,934",https://github.com/leon-ai/leon
pedroslopez,whatsapp-web.js,"14,492",https://github.com/pedroslopez/whatsapp-web.js
Rapptz,discord.py,"14,487",https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,"14,020",https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,"13,957",https://github.com/gunthercox/ChatterBot
lss233,chatgpt-mirai-qq-bot,"12,520",https://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,"11,376",https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,"10,314",https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,"9,923",https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,"8,115",https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,"7,939",https://github.com/telegraf/telegraf
microsoft,ailab,"7,667",https://github.com/microsoft/ailab
microsoft,botframework-sdk,"7,430",https://github.com/microsoft/botframework-sdk
