username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,"47,836",https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,"29,713",https://github.com/jaywcjlove/linux-command
refined-github,refined-github,"23,567",https://github.com/refined-github/refined-github
openai-translator,openai-translator,"23,195",https://github.com/openai-translator/openai-translator
darkreader,darkreader,"19,091",https://github.com/darkreader/darkreader
dailydotdev,daily,"17,281",https://github.com/dailydotdev/daily
checkly,headless-recorder,"14,983",https://github.com/checkly/headless-recorder
gildas-lormeau,SingleFile,"14,306",https://github.com/gildas-lormeau/SingleFile
unbug,codelf,"14,012",https://github.com/unbug/codelf
immersive-translate,immersive-translate,"13,700",https://github.com/immersive-translate/immersive-translate
wong2,chatgpt-google-extension,"13,256",https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,"12,311",https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,"11,791",https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,"11,240",https://github.com/listen1/listen1_chrome_extension
alyssaxuu,screenity,"11,107",https://github.com/alyssaxuu/screenity
AutomaApp,automa,"10,744",https://github.com/AutomaApp/automa
chathub-dev,chathub,"9,761",https://github.com/chathub-dev/chathub
josStorer,chatGPTBox,"9,720",https://github.com/josStorer/chatGPTBox
ajayyy,SponsorBlock,"9,269",https://github.com/ajayyy/SponsorBlock
PlasmoHQ,plasmo,"8,821",https://github.com/PlasmoHQ/plasmo
