username,repo_name,stars,repo_url
realm,SwiftLint,"18,457",https://github.com/realm/SwiftLint
facebook,infer,"14,792",https://github.com/facebook/infer
analysis-tools-dev,static-analysis,"13,045",https://github.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,"11,408",https://github.com/federico-busato/Modern-CPP-Programming
Kristories,awesome-guidelines,"9,637",https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,"9,271",https://github.com/super-linter/super-linter
SonarSource,sonarqube,"8,748",https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,"8,228",https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,"7,584",https://github.com/reviewdog/reviewdog
facebook,pyre-check,"6,739",https://github.com/facebook/pyre-check
detekt,detekt,"6,118",https://github.com/detekt/detekt
trekhleb,state-of-the-art-shitcode,"5,456",https://github.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,"5,378",https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,"5,186",https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,"4,735",https://github.com/simplecov-ruby/simplecov
pmd,pmd,"4,723",https://github.com/pmd/pmd
kucherenko,jscpd,"4,612",https://github.com/kucherenko/jscpd
phpro,grumphp,"4,113",https://github.com/phpro/grumphp
htmlhint,HTMLHint,"3,062",https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,"2,496",https://github.com/codeclimate/codeclimate
