username,repo_name,stars,repo_url
ovity,octotree,"22,731",https://github.com/ovity/octotree
gitpod-io,gitpod,"12,503",https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,"7,584",https://github.com/reviewdog/reviewdog
danger,danger,"5,389",https://github.com/danger/danger
danger,danger-js,"5,209",https://github.com/danger/danger-js
Codium-ai,pr-agent,"4,867",https://github.com/Codium-ai/pr-agent
joho,awesome-code-review,"4,267",https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,"2,355",https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,"2,257",https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,"2,066",https://github.com/crev-dev/cargo-crev
houndci,hound,"1,945",https://github.com/houndci/hound
mbj,mutant,"1,933",https://github.com/mbj/mutant
Tencent,CodeAnalysis,"1,618",https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,"1,541",https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,"1,457",https://github.com/ryanmcdermott/code-review-tips
coderabbitai,ai-pr-reviewer,"1,412",https://github.com/coderabbitai/ai-pr-reviewer
mattzcarey,code-review-gpt,"1,404",https://github.com/mattzcarey/code-review-gpt
bit4woo,python_sec,"1,285",https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,"1,271",https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,961,https://github.com/jiangsir404/Audit-Learning
