username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,"170,652",https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,"61,809",https://github.com/junegunn/fzf
sherlock-project,sherlock,"52,564",https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,"48,052",https://github.com/jesseduffield/lazygit
sharkdp,bat,"47,655",https://github.com/sharkdp/bat
BurntSushi,ripgrep,"46,189",https://github.com/BurntSushi/ripgrep
wagoodman,dive,"44,537",https://github.com/wagoodman/dive
n8n-io,n8n,"42,371",https://github.com/n8n-io/n8n
google,zx,"42,297",https://github.com/google/zx
chubin,cheat.sh,"37,807",https://github.com/chubin/cheat.sh
spf13,cobra,"36,761",https://github.com/spf13/cobra
cli,cli,"36,033",https://github.com/cli/cli
httpie,cli,"32,714",https://github.com/httpie/cli
sharkdp,fd,"32,549",https://github.com/sharkdp/fd
alebcay,awesome-shell,"31,857",https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,"30,318",https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,"28,022",https://github.com/acheong08/ChatGPT
tqdm,tqdm,"27,887",https://github.com/tqdm/tqdm
angular,angular-cli,"26,661",https://github.com/angular/angular-cli
google,python-fire,"26,562",https://github.com/google/python-fire
