username,repo_name,stars,repo_url
bitcoin,bitcoin,"77,093",https://github.com/bitcoin/bitcoin
ccxt,ccxt,"31,912",https://github.com/ccxt/ccxt
OpenBB-finance,OpenBBTerminal,"26,590",https://github.com/OpenBB-finance/OpenBBTerminal
freqtrade,freqtrade,"26,313",https://github.com/freqtrade/freqtrade
dogecoin,dogecoin,"14,407",https://github.com/dogecoin/dogecoin
monero-project,monero,"8,736",https://github.com/monero-project/monero
xmrig,xmrig,"8,504",https://github.com/xmrig/xmrig
kroma-network,tachyon,"7,775",https://github.com/kroma-network/tachyon
dvf,blockchain,"7,710",https://github.com/dvf/blockchain
hummingbot,hummingbot,"7,597",https://github.com/hummingbot/hummingbot
lightningnetwork,lnd,"7,553",https://github.com/lightningnetwork/lnd
lbryio,lbry-sdk,"7,196",https://github.com/lbryio/lbry-sdk
StockSharp,StockSharp,"6,829",https://github.com/StockSharp/StockSharp
firmai,financial-machine-learning,"6,384",https://github.com/firmai/financial-machine-learning
cosmos,cosmos-sdk,"6,076",https://github.com/cosmos/cosmos-sdk
sammchardy,python-binance,"5,883",https://github.com/sammchardy/python-binance
tendermint,tendermint,"5,675",https://github.com/tendermint/tendermint
jesse-ai,jesse,"5,376",https://github.com/jesse-ai/jesse
sea-protocol,seaprotocol,"5,132",https://github.com/sea-protocol/seaprotocol
mimblewimble,grin,"5,038",https://github.com/mimblewimble/grin
