Repository Name,Stars,Forks,URL
DSA,0,0,https://github.com/jatindhimann/DSA
Web-Scraping,0,0,https://github.com/jatindhimann/Web-Scraping
Python,0,0,https://github.com/jatindhimann/Python
Pandas,0,0,https://github.com/jatindhimann/Pandas
HTML-CSS-JS-PROJECTS,0,0,https://github.com/jatindhimann/HTML-CSS-JS-PROJECTS
Books-Gallery,0,0,https://github.com/jatindhimann/Books-Gallery
JavaScript,0,0,https://github.com/jatindhimann/JavaScript
Web-Dev,0,0,https://github.com/jatindhimann/Web-Dev
OS_lab,0,0,https://github.com/jatindhimann/OS_lab
ADA-LAB,0,0,https://github.com/jatindhimann/ADA-LAB
Linked-List,0,0,https://github.com/jatindhimann/Linked-List
Object-Oriented-Programming-Group-Project,0,0,https://github.com/jatindhimann/Object-Oriented-Programming-Group-Project
DBMS-LAB,0,0,https://github.com/jatindhimann/DBMS-LAB
