,Repository Name,Stars,Forks,URL
0,react-projects,"4,772","3,860",https://github.com/john-smilga/react-projects
1,node-express-course,"3,482","3,657",https://github.com/john-smilga/node-express-course
2,nextjs-course-openai,124,58,https://github.com/john-smilga/nextjs-course-openai
3,react-course-v3,"1,457",835,https://github.com/john-smilga/react-course-v3
4,nextjs-course-home-away,26,8,https://github.com/john-smilga/nextjs-course-home-away
5,react-course-comfy-sloth-starter,72,103,https://github.com/john-smilga/react-course-comfy-sloth-starter
6,nextjs-starter-kit-v1,15,3,https://github.com/john-smilga/nextjs-starter-kit-v1
7,javascript-basic-projects,"3,630","3,752",https://github.com/john-smilga/javascript-basic-projects
8,react-course-comfy-sloth-store,126,83,https://github.com/john-smilga/react-course-comfy-sloth-store
9,react-vite-projects-14-cart,12,0,https://github.com/john-smilga/react-vite-projects-14-cart
10,react-vite-projects-6-tabs,6,1,https://github.com/john-smilga/react-vite-projects-6-tabs
11,react-vite-projects-2-tours,12,0,https://github.com/john-smilga/react-vite-projects-2-tours
12,redux-toolkit-jobster,116,49,https://github.com/john-smilga/redux-toolkit-jobster
13,redux-toolkit-jobster-api-server,6,0,https://github.com/john-smilga/redux-toolkit-jobster-api-server
14,bootstrap-only-bootstrap-project,8,5,https://github.com/john-smilga/bootstrap-only-bootstrap-project
15,redux-toolkit-tutorial,431,349,https://github.com/john-smilga/redux-toolkit-tutorial
16,mern-jobify-v2,134,60,https://github.com/john-smilga/mern-jobify-v2
17,typescript-course,170,80,https://github.com/john-smilga/typescript-course
18,serverless-functions-complete-project,33,16,https://github.com/john-smilga/serverless-functions-complete-project
19,task-manager-app,14,4,https://github.com/john-smilga/task-manager-app
20,strapi-comfy-store-api-server,9,5,https://github.com/john-smilga/strapi-comfy-store-api-server
21,test-random-stuff,5,1,https://github.com/john-smilga/test-random-stuff
22,react-advanced-2020,888,"1,157",https://github.com/john-smilga/react-advanced-2020
23,javascript-comfy-store-course-project,30,17,https://github.com/john-smilga/javascript-comfy-store-course-project
24,javascript-nuggets,148,111,https://github.com/john-smilga/javascript-nuggets
25,react-vite-projects-19-comfy-store-v2,34,5,https://github.com/john-smilga/react-vite-projects-19-comfy-store-v2
26,react-vite-projects-18-tailwind-portfolio,22,2,https://github.com/john-smilga/react-vite-projects-18-tailwind-portfolio
27,react-vite-projects-7-slider,6,1,https://github.com/john-smilga/react-vite-projects-7-slider
28,gatsby-mdx-blog-project,6,2,https://github.com/john-smilga/gatsby-mdx-blog-project
29,gatsby-mdx-project-starter,6,2,https://github.com/john-smilga/gatsby-mdx-project-starter
30,udemy-mdx-question,3,2,https://github.com/john-smilga/udemy-mdx-question
31,gatsby-second-tutorial-recording,5,2,https://github.com/john-smilga/gatsby-second-tutorial-recording
32,gatsby-tutorial-project,8,2,https://github.com/john-smilga/gatsby-tutorial-project
33,starter-project-gatsby-mdx-blog-course-project,21,14,https://github.com/john-smilga/starter-project-gatsby-mdx-blog-course-project
34,starter-project-gatsby-airtable-design-site,11,4,https://github.com/john-smilga/starter-project-gatsby-airtable-design-site
35,gatsby-airtable-design-project,8,9,https://github.com/john-smilga/gatsby-airtable-design-project
36,gatsby-restaurant-project,11,8,https://github.com/john-smilga/gatsby-restaurant-project
37,gatsby-tutorial-2020,38,23,https://github.com/john-smilga/gatsby-tutorial-2020
38,udemy-question-gatsby-tutorial,4,2,https://github.com/john-smilga/udemy-question-gatsby-tutorial
39,question-udemy-gatsby,3,0,https://github.com/john-smilga/question-udemy-gatsby
40,udemy-gatsby-project-response,2,0,https://github.com/john-smilga/udemy-gatsby-project-response
41,gatsby-personal-site-2019-starter,12,6,https://github.com/john-smilga/gatsby-personal-site-2019-starter
42,react-vite-projects-17-cocktails,15,0,https://github.com/john-smilga/react-vite-projects-17-cocktails
43,setup-files-flexbox-backroads-new-design,8,5,https://github.com/john-smilga/setup-files-flexbox-backroads-new-design
44,html-css-simply-recipes,204,225,https://github.com/john-smilga/html-css-simply-recipes
45,mern-course-jobify,272,204,https://github.com/john-smilga/mern-course-jobify
46,vanilla-js-basic-project-20-filters,11,1,https://github.com/john-smilga/vanilla-js-basic-project-20-filters
47,react-projects-7-slider,10,1,https://github.com/john-smilga/react-projects-7-slider
48,react-vite-projects-3-reviews,3,1,https://github.com/john-smilga/react-vite-projects-3-reviews
49,react-vite-projects-1-birthday-buddy,4,0,https://github.com/john-smilga/react-vite-projects-1-birthday-buddy
50,react-vite-projects-13-strapi-menu,5,0,https://github.com/john-smilga/react-vite-projects-13-strapi-menu
51,react-router-6-tutorial,236,198,https://github.com/john-smilga/react-router-6-tutorial
52,react-vite-projects-15-unsplash-images,10,2,https://github.com/john-smilga/react-vite-projects-15-unsplash-images
53,default-starter-latest-version,19,5,https://github.com/john-smilga/default-starter-latest-version
54,react-vite-projects-16-contentful,17,1,https://github.com/john-smilga/react-vite-projects-16-contentful
55,axios-tutorial-react,92,101,https://github.com/john-smilga/axios-tutorial-react
56,react-vite-projects-10-grocery-bud,6,1,https://github.com/john-smilga/react-vite-projects-10-grocery-bud
57,react-vite-projects-9-color-generator,4,0,https://github.com/john-smilga/react-vite-projects-9-color-generator
58,default-starter,175,85,https://github.com/john-smilga/default-starter
59,gatsby-mdx-blog-udemy-course-second-project-starter-project,11,2,https://github.com/john-smilga/gatsby-mdx-blog-udemy-course-second-project-starter-project
60,gatsby-strapi-portfolio-site-2020,65,60,https://github.com/john-smilga/gatsby-strapi-portfolio-site-2020
61,starter-project-gatsby-strapi-portfolio-2020,96,88,https://github.com/john-smilga/starter-project-gatsby-strapi-portfolio-2020
62,youtube-react-debounce,19,0,https://github.com/john-smilga/youtube-react-debounce
63,react-vite-projects-12-sidebar,7,0,https://github.com/john-smilga/react-vite-projects-12-sidebar
64,react-vite-projects-11-navbar,6,0,https://github.com/john-smilga/react-vite-projects-11-navbar
65,react-vite-projects-8-lorem-ipsum,3,0,https://github.com/john-smilga/react-vite-projects-8-lorem-ipsum
66,react-vite-projects-5-menu,6,2,https://github.com/john-smilga/react-vite-projects-5-menu
67,react-vite-projects-4-accordion,3,0,https://github.com/john-smilga/react-vite-projects-4-accordion
68,setup-files-react-budget-calculator,14,27,https://github.com/john-smilga/setup-files-react-budget-calculator
69,javascript-tutorial-source-code,52,33,https://github.com/john-smilga/javascript-tutorial-source-code
70,youtube-react-formdata-api,19,4,https://github.com/john-smilga/youtube-react-formdata-api
71,starter-project-react-github-search-users,83,89,https://github.com/john-smilga/starter-project-react-github-search-users
72,react-search-github-users,104,66,https://github.com/john-smilga/react-search-github-users
73,js-comfy-house-parcel-setup,25,10,https://github.com/john-smilga/js-comfy-house-parcel-setup
74,react-hooks-budged-calculator-app,65,40,https://github.com/john-smilga/react-hooks-budged-calculator-app
75,gatsby-coffee-project,34,9,https://github.com/john-smilga/gatsby-coffee-project
76,react-beach-resort-project,312,258,https://github.com/john-smilga/react-beach-resort-project
77,react-meals-application-freeCodeCamp,35,16,https://github.com/john-smilga/react-meals-application-freeCodeCamp
78,react-projects-2-tours,16,3,https://github.com/john-smilga/react-projects-2-tours
79,express-portfolio-server,7,0,https://github.com/john-smilga/express-portfolio-server
80,express-simple-portfolio-server,4,0,https://github.com/john-smilga/express-simple-portfolio-server
81,svelte-store-project,28,11,https://github.com/john-smilga/svelte-store-project
82,svelte-budget-project-recording,21,4,https://github.com/john-smilga/svelte-budget-project-recording
83,svelte-tutorial-budget-calculator-project,16,6,https://github.com/john-smilga/svelte-tutorial-budget-calculator-project
84,react-jobs-app,65,28,https://github.com/john-smilga/react-jobs-app
85,render-jobs-api,8,0,https://github.com/john-smilga/render-jobs-api
86,react-advanced-v18,101,91,https://github.com/john-smilga/react-advanced-v18
87,starter-project-gatsby-v3-mdx-blog,13,14,https://github.com/john-smilga/starter-project-gatsby-v3-mdx-blog
88,redux-tutorial-cart,37,22,https://github.com/john-smilga/redux-tutorial-cart
89,html-css-mini-projects,75,59,https://github.com/john-smilga/html-css-mini-projects
90,starter-project-redux-tutorial-cart,38,75,https://github.com/john-smilga/starter-project-redux-tutorial-cart
91,html-css-grid-project-recording,67,44,https://github.com/john-smilga/html-css-grid-project-recording
92,svelte-store-server,14,1,https://github.com/john-smilga/svelte-store-server
93,js-course-challanges,28,6,https://github.com/john-smilga/js-course-challanges
94,js-course-extra-content,15,0,https://github.com/john-smilga/js-course-extra-content
95,html-css-course-v2,30,18,https://github.com/john-smilga/html-css-course-v2
96,setup-files-js-comfy-house,184,287,https://github.com/john-smilga/setup-files-js-comfy-house
97,question-udemy-gatsby-course,6,0,https://github.com/john-smilga/question-udemy-gatsby-course
98,vs-code-setup-javascript-course,37,9,https://github.com/john-smilga/vs-code-setup-javascript-course
99,vs-code-setup-2022,89,35,https://github.com/john-smilga/vs-code-setup-2022
100,starter-project-gatsby-v3-strapi-portfolio,28,21,https://github.com/john-smilga/starter-project-gatsby-v3-strapi-portfolio
101,react-projects-19-stock-photos,12,3,https://github.com/john-smilga/react-projects-19-stock-photos
102,react-node-user-workflow-front-end,25,2,https://github.com/john-smilga/react-node-user-workflow-front-end
