username,repo_name,stars,repo_url
bitwarden,server,"14,720",https://github.com/bitwarden/server
abpframework,abp,"12,470",https://github.com/abpframework/abp
dotnet,AspNetCore.Docs,"12,433",https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,"11,676",https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,"9,071",https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,"7,169",https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,"6,945",https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,"6,612",https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,"4,243",https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,"3,006",https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,"2,643",https://github.com/smartstore/SmartStoreNET
mjebrahimi,Awesome-Microservices-DotNet,"2,643",https://github.com/mjebrahimi/Awesome-Microservices-DotNet
serenity-is,Serenity,"2,567",https://github.com/serenity-is/Serenity
loic-sharma,BaGet,"2,567",https://github.com/loic-sharma/BaGet
JimBobSquarePants,ImageProcessor,"2,501",https://github.com/JimBobSquarePants/ImageProcessor
milanm,DotNet-Developer-Roadmap,"1,644",https://github.com/milanm/DotNet-Developer-Roadmap
TrilonIO,aspnetcore-angular-universal,"1,463",https://github.com/TrilonIO/aspnetcore-angular-universal
MarimerLLC,csla,"1,234",https://github.com/MarimerLLC/csla
TrilonIO,aspnetcore-Vue-starter,"1,213",https://github.com/TrilonIO/aspnetcore-Vue-starter
smartstore,Smartstore,"1,110",https://github.com/smartstore/Smartstore
