username,repo_name,stars,repo_url
bregman-arie,devops-exercises,"64,781",https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,"60,220",https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,"52,939",https://github.com/localstack/localstack
serverless,serverless,"46,303",https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,"26,718",https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,"21,001",https://github.com/sst/sst
pulumi,pulumi,"20,481",https://github.com/pulumi/pulumi
getsops,sops,"15,751",https://github.com/getsops/sops
kubernetes-sigs,kubespray,"15,630",https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,"15,096",https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,"14,853",https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,"12,622",https://github.com/caprover/caprover
donnemartin,awesome-aws,"12,263",https://github.com/donnemartin/awesome-aws
GoogleCloudPlatform,terraformer,"12,106",https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,"11,351",https://github.com/aws/aws-cdk
apereo,cas,"10,768",https://github.com/apereo/cas
aws,chalice,"10,523",https://github.com/aws/chalice
milanm,DevOps-Roadmap,"10,462",https://github.com/milanm/DevOps-Roadmap
phidatahq,phidata,"10,462",https://github.com/phidatahq/phidata
infracost,infracost,"10,455",https://github.com/infracost/infracost
