username,repo_name,stars,repo_url
flutter,flutter,"163,126",https://github.com/flutter/flutter
facebook,react-native,"117,073",https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,"109,931",https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,"105,346",https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,"79,914",https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,"52,126",https://github.com/Solido/awesome-flutter
google,material-design-icons,"50,130",https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,"49,722",https://github.com/wasabeef/awesome-android-ui
tldr-pages,tldr,"49,272",https://github.com/tldr-pages/tldr
square,okhttp,"45,479",https://github.com/square/okhttp
laurent22,joplin,"44,160",https://github.com/laurent22/joplin
android,architecture-samples,"44,077",https://github.com/android/architecture-samples
square,retrofit,"42,818",https://github.com/square/retrofit
appwrite,appwrite,"42,276",https://github.com/appwrite/appwrite
skylot,jadx,"40,018",https://github.com/skylot/jadx
dcloudio,uni-app,"39,639",https://github.com/dcloudio/uni-app
fastlane,fastlane,"38,845",https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,"37,412",https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,"34,842",https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,"34,786",https://github.com/airbnb/lottie-android
