username,repo_name,stars,repo_url
bregman-arie,devops-exercises,"64,781",https://github.com/bregman-arie/devops-exercises
ansible,ansible,"61,767",https://github.com/ansible/ansible
trailofbits,algo,"28,509",https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,"26,119",https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,"23,153",https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,"15,630",https://github.com/kubernetes-sigs/kubespray
ansible,awx,"13,657",https://github.com/ansible/awx
easzlab,kubeasz,"10,234",https://github.com/easzlab/kubeasz
semaphoreui,semaphore,"9,683",https://github.com/semaphoreui/semaphore
netbootxyz,netboot.xyz,"8,417",https://github.com/netbootxyz/netboot.xyz
geerlingguy,ansible-for-devops,"8,200",https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,"7,899",https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,"7,822",https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,"5,853",https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,"5,411",https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,"4,959",https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,"4,566",https://github.com/clong/DetectionLab
ChristianLempa,boilerplates,"3,877",https://github.com/ChristianLempa/boilerplates
ansible,molecule,"3,844",https://github.com/ansible/molecule
dev-sec,ansible-collection-hardening,"3,794",https://github.com/dev-sec/ansible-collection-hardening
