username,repo_name,stars,repo_url
arendst,Tasmota,"21,709",https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,"16,025",https://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,"14,726",https://github.com/tinygo-org/tinygo
arduino,Arduino,"14,067",https://github.com/arduino/Arduino
rwaldron,johnny-five,"13,243",https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,"13,079",https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,"12,968",https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,"9,825",https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,"8,813",https://github.com/hybridgroup/gobot
platformio,platformio-core,"7,677",https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,"6,631",https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,"6,451",https://github.com/tzapu/WiFiManager
justcallmekoko,ESP32Marauder,"4,950",https://github.com/justcallmekoko/ESP32Marauder
olikraus,u8g2,"4,911",https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,"4,576",https://github.com/ClemensElflein/OpenMower
omriharel,deej,"4,538",https://github.com/omriharel/deej
Arduino-IRremote,Arduino-IRremote,"4,358",https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,"4,235",https://github.com/arduino/arduino-cli
Serial-Studio,Serial-Studio,"4,196",https://github.com/Serial-Studio/Serial-Studio
hybridgroup,cylon,"4,190",https://github.com/hybridgroup/cylon
