username,repo_name,stars,repo_url
bregman-arie,devops-exercises,"64,781",https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,"54,875",https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,"20,481",https://github.com/pulumi/pulumi
recommenders-team,recommenders,"18,402",https://github.com/recommenders-team/recommenders
getsops,sops,"15,751",https://github.com/getsops/sops
danny-avila,LibreChat,"15,211",https://github.com/danny-avila/LibreChat
ramitsurana,awesome-kubernetes,"14,853",https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,"13,830",https://github.com/Azure/azure-quickstart-templates
caprover,caprover,"12,622",https://github.com/caprover/caprover
milanm,DevOps-Roadmap,"10,462",https://github.com/milanm/DevOps-Roadmap
infracost,infracost,"10,455",https://github.com/infracost/infracost
prowler-cloud,prowler,"9,924",https://github.com/prowler-cloud/prowler
google,go-cloud,"9,438",https://github.com/google/go-cloud
microsoft,computervision-recipes,"9,336",https://github.com/microsoft/computervision-recipes
budtmo,docker-android,"8,794",https://github.com/budtmo/docker-android
Netflix,metaflow,"7,796",https://github.com/Netflix/metaflow
microsoft,azuredatastudio,"7,502",https://github.com/microsoft/azuredatastudio
midwayjs,midway,"7,248",https://github.com/midwayjs/midway
node-formidable,formidable,"7,003",https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,"6,945",https://github.com/thangchung/clean-code-dotnet
