username,repo_name,stars,repo_url
babel,babel,"43,046",https://github.com/babel/babel
swc-project,swc,"30,473",https://github.com/swc-project/swc
nylas,nylas-mail,"24,800",https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,"22,891",https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,"15,444",https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,"15,095",https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,"11,963",https://github.com/jamiebuilds/babel-handbook
developit,htm,"8,615",https://github.com/developit/htm
grommet,grommet,"8,309",https://github.com/grommet/grommet
ben-rogerson,twin.macro,"7,854",https://github.com/ben-rogerson/twin.macro
ast-grep,ast-grep,"6,425",https://github.com/ast-grep/ast-grep
angular-fullstack,generator-angular-fullstack,"6,127",https://github.com/angular-fullstack/generator-angular-fullstack
fkling,astexplorer,"6,044",https://github.com/fkling/astexplorer
documentationjs,documentation,"5,776",https://github.com/documentationjs/documentation
insin,nwb,"5,566",https://github.com/insin/nwb
thx,gogocode,"5,343",https://github.com/thx/gogocode
thinkjs,thinkjs,"5,308",https://github.com/thinkjs/thinkjs
egoist,poi,"5,228",https://github.com/egoist/poi
duxianwei520,react,"4,994",https://github.com/duxianwei520/react
babel,babel-loader,"4,815",https://github.com/babel/babel-loader
