username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,"150,775",https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,"77,159",https://github.com/nvm-sh/nvm
junegunn,fzf,"61,809",https://github.com/junegunn/fzf
starship,starship,"42,924",https://github.com/starship/starship
google,zx,"42,297",https://github.com/google/zx
LeCoupa,awesome-cheatsheets,"38,466",https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,"37,564",https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,"36,272",https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,"35,525",https://github.com/koalaman/shellcheck
alebcay,awesome-shell,"31,857",https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,"30,011",https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,"29,713",https://github.com/jaywcjlove/linux-command
withfig,autocomplete,"24,388",https://github.com/withfig/autocomplete
dylanaraps,neofetch,"21,562",https://github.com/dylanaraps/neofetch
kingToolbox,WindTerm,"21,527",https://github.com/kingToolbox/WindTerm
asdf-vm,asdf,"21,102",https://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,"20,292",https://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,"20,250",https://github.com/warpdotdev/Warp
Nyr,openvpn-install,"18,640",https://github.com/Nyr/openvpn-install
atuinsh,atuin,"18,608",https://github.com/atuinsh/atuin
