username,repo_name,stars,repo_url
bitcoin,bitcoin,"77,093",https://github.com/bitcoin/bitcoin
ccxt,ccxt,"31,912",https://github.com/ccxt/ccxt
freqtrade,freqtrade,"26,313",https://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,"23,130",https://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,"18,254",https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,"12,662",https://github.com/solana-labs/solana
bbfamily,abu,"11,557",https://github.com/bbfamily/abu
askmike,gekko,"10,046",https://github.com/askmike/gekko
dvf,blockchain,"7,710",https://github.com/dvf/blockchain
lightningnetwork,lnd,"7,553",https://github.com/lightningnetwork/lnd
spesmilo,electrum,"7,235",https://github.com/spesmilo/electrum
lbryio,lbry-sdk,"7,196",https://github.com/lbryio/lbry-sdk
getumbrel,umbrel,"6,910",https://github.com/getumbrel/umbrel
yeasy,blockchain_guide,"6,754",https://github.com/yeasy/blockchain_guide
UFund-Me,Qbot,"6,509",https://github.com/UFund-Me/Qbot
btcpayserver,btcpayserver,"6,158",https://github.com/btcpayserver/btcpayserver
btcsuite,btcd,"6,098",https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,"5,593",https://github.com/bitcoinjs/bitcoinjs-lib
jesse-ai,jesse,"5,376",https://github.com/jesse-ai/jesse
anders94,blockchain-demo,"5,123",https://github.com/anders94/blockchain-demo
