username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,"180,400",https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,"173,516",https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,"56,973",https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,"54,131",https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,"48,788",https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,"43,690",https://github.com/x64dbg/x64dbg
WerWolv,ImHex,"39,983",https://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,"38,022",https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,"35,398",https://github.com/ClickHouse/ClickHouse
huihut,interview,"33,758",https://github.com/huihut/interview
carbon-language,carbon-lang,"32,304",https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,"30,383",https://github.com/CMU-Perceptual-Computing-Lab/openpose
doocs,leetcode,"29,797",https://github.com/doocs/leetcode
TheAlgorithms,C-Plus-Plus,"29,607",https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,"29,235",https://github.com/microsoft/calculator
aseprite,aseprite,"27,589",https://github.com/aseprite/aseprite
dragonflydb,dragonfly,"24,500",https://github.com/dragonflydb/dragonfly
changkun,modern-cpp-tutorial,"23,462",https://github.com/changkun/modern-cpp-tutorial
gabime,spdlog,"22,973",https://github.com/gabime/spdlog
ethereum,solidity,"22,686",https://github.com/ethereum/solidity
