username,repo_name,stars,repo_url
Genymobile,scrcpy,"105,346",https://github.com/Genymobile/scrcpy
neovim,neovim,"79,837",https://github.com/neovim/neovim
obsproject,obs-studio,"57,217",https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,"56,973",https://github.com/fffaraz/awesome-cpp
git,git,"50,946",https://github.com/git/git
FFmpeg,FFmpeg,"43,652",https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,"40,337",https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,"35,544",https://github.com/vim/vim
curl,curl,"34,794",https://github.com/curl/curl
huihut,interview,"33,758",https://github.com/huihut/interview
mpv-player,mpv,"26,703",https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,"25,886",https://github.com/ggreer/the_silver_searcher
ossrs,srs,"24,755",https://github.com/ossrs/srs
kovidgoyal,kitty,"22,748",https://github.com/kovidgoyal/kitty
google,flatbuffers,"22,520",https://github.com/google/flatbuffers
microsoft,vcpkg,"22,178",https://github.com/microsoft/vcpkg
ruby,ruby,"21,734",https://github.com/ruby/ruby
raysan5,raylib,"20,391",https://github.com/raysan5/raylib
hashcat,hashcat,"20,329",https://github.com/hashcat/hashcat
radareorg,radare2,"19,962",https://github.com/radareorg/radare2
