username,repo_name,stars,repo_url
electron,electron,"112,726",https://github.com/electron/electron
puppeteer,puppeteer,"87,602",https://github.com/puppeteer/puppeteer
microsoft,playwright,"63,779",https://github.com/microsoft/playwright
iamadamdev,bypass-paywalls-chrome,"47,836",https://github.com/iamadamdev/bypass-paywalls-chrome
FiloSottile,mkcert,"46,895",https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,"29,713",https://github.com/jaywcjlove/linux-command
ovity,octotree,"22,731",https://github.com/ovity/octotree
segment-boneyard,nightmare,"19,532",https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,"14,983",https://github.com/checkly/headless-recorder
GoogleChrome,chrome-extensions-samples,"14,648",https://github.com/GoogleChrome/chrome-extensions-samples
gildas-lormeau,SingleFile,"14,306",https://github.com/gildas-lormeau/SingleFile
google,WebFundamentals,"13,854",https://github.com/google/WebFundamentals
schickling,chromeless,"13,239",https://github.com/schickling/chromeless
casesandberg,react-color,"11,923",https://github.com/casesandberg/react-color
crimx,ext-saladict,"11,791",https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,"11,663",https://github.com/MetaMask/metamask-extension
chromedp,chromedp,"10,586",https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,"10,293",https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,"9,269",https://github.com/ajayyy/SponsorBlock
ultrafunkamsterdam,undetected-chromedriver,"9,053",https://github.com/ultrafunkamsterdam/undetected-chromedriver
