username,repo_name,stars,repo_url
metabase,metabase,"37,270",https://github.com/metabase/metabase
logseq,logseq,"30,814",https://github.com/logseq/logseq
penpot,penpot,"29,226",https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,"13,519",https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,"11,723",https://github.com/LightTable/LightTable
kanaka,mal,"9,908",https://github.com/kanaka/mal
lk-geimfari,awesomo,"9,309",https://github.com/lk-geimfari/awesomo
tonsky,datascript,"5,425",https://github.com/tonsky/datascript
reagent-project,reagent,"4,739",https://github.com/reagent-project/reagent
izhangzhihao,intellij-rainbow-brackets,"4,375",https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,"4,218",https://github.com/riemann/riemann
weavejester,compojure,"4,071",https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,"3,986",https://github.com/bbatsov/clojure-style-guide
defold,defold,"3,929",https://github.com/defold/defold
babashka,babashka,"3,900",https://github.com/babashka/babashka
status-im,status-mobile,"3,848",https://github.com/status-im/status-mobile
ring-clojure,ring,"3,731",https://github.com/ring-clojure/ring
clojure-emacs,cider,"3,518",https://github.com/clojure-emacs/cider
viebel,klipse,"3,101",https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,"3,029",https://github.com/tallesl/Rich-Hickey-fanclub
