username,repo_name,stars,repo_url
localstack,localstack,"52,939",https://github.com/localstack/localstack
harness,gitness,"31,866",https://github.com/harness/gitness
jenkinsci,jenkins,"22,698",https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,"14,087",https://github.com/auchenberg/volkswagen
dagger,dagger,"10,569",https://github.com/dagger/dagger
milanm,DevOps-Roadmap,"10,462",https://github.com/milanm/DevOps-Roadmap
openshift,origin,"8,466",https://github.com/openshift/origin
concourse,concourse,"7,255",https://github.com/concourse/concourse
gocd,gocd,"7,065",https://github.com/gocd/gocd
buildbot,buildbot,"5,199",https://github.com/buildbot/buildbot
gaia-pipeline,gaia,"5,183",https://github.com/gaia-pipeline/gaia
Strider-CD,strider,"4,592",https://github.com/Strider-CD/strider
Flagsmith,flagsmith,"4,573",https://github.com/Flagsmith/flagsmith
jenkins-x,jx,"4,538",https://github.com/jenkins-x/jx
ovh,cds,"4,497",https://github.com/ovh/cds
TheLartians,ModernCppStarter,"4,170",https://github.com/TheLartians/ModernCppStarter
JamesIves,github-pages-deploy-action,"4,147",https://github.com/JamesIves/github-pages-deploy-action
werf,werf,"4,007",https://github.com/werf/werf
iterative,cml,"3,971",https://github.com/iterative/cml
xcpretty,xcpretty,"3,901",https://github.com/xcpretty/xcpretty
