username,repo_name,stars,repo_url
jwasham,coding-interview-university,"297,893",https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,"185,112",https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,"181,919",https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,"173,516",https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,"113,808",https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,"79,649",https://github.com/krahets/hello-algo
kdn251,interviews,"62,724",https://github.com/kdn251/interviews
TheAlgorithms,Java,"57,619",https://github.com/TheAlgorithms/Java
azl397985856,leetcode,"54,131",https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,"48,787",https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,"46,409",https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,"33,758",https://github.com/huihut/interview
halfrost,LeetCode-Go,"32,405",https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,"31,762",https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,"29,607",https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,"29,095",https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,"27,078",https://github.com/crossoverJie/JCSprout
keon,algorithms,"23,762",https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,"22,973",https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,"22,782",https://github.com/trekhleb/homemade-machine-learning
